occ,title,function,emp,wage,wage_bill,n_tasks,n_goes,share_goes,band_lo,band_hi,freed,freed_agreed,freed_agreed3,freed_contested,freed_physical_removed,ai_exposure,cost_share_goes_before,cost_share_stays_after_modelled
11-1011,Chief Executives,Executive,210750.0,263957.6830367734,55629081700.0,49,2,0.03757692377727304,0.0,0.3178313165156964,2090369762.8405948,0.0,0.0,9628109061.866362,0.0,0.0333,0.03757692377727305,0.9697653057891723
11-1021,General and Operations Managers,Executive,3584370.0,133114.97922926483,477133338100.0,17,1,0.10753591906116033,0.0,0.27963313960931263,51308972027.30285,0.0,0.0,133422293345.17467,0.0,0.1378,0.10753591906116033,0.91222911527635
11-1031,Legislators,Executive,26510.0,67382.50094304036,1786310100.0,30,0,0.0,0.0,0.2,0.0,0.0,0.0,595436700.0000001,0.0,0.0,,
11-2011,Advertising and Promotions Managers,Operations,18500.0,154329.5081081081,2855095900.0,30,2,0.07855149599108868,0.0,0.3619393783218171,224272054.14302373,3767221.4166369163,3767221.4166369163,623422567.832989,0.0,0.1731,0.07855149599108868,0.936266658248248
11-2021,Marketing Managers,Marketing,383070.0,172021.88607826247,65896423900.0,20,1,0.06327118762970912,0.0,0.3205951626252738,4169345000.7037487,4169345000.7037487,4169345000.7037487,10204949653.125938,0.0,0.3195,0.06327118762970911,0.9488245396841888
11-2022,Sales Managers,Sales,602830.0,160920.72010351176,97007837700.0,17,2,0.08011634134651652,0.0,0.38595961088176683,7771913038.460673,0.0,0.0,17549782582.350643,0.0,0.0433,0.08011634134651652,0.9349761781915076
11-2032,Public Relations Managers,Marketing,73800.0,164690.26422764227,12154141500.0,20,1,0.05,0.0,0.4,607707075.0,607707075.0,607707075.0,3646242450.0,0.0,0.2315,0.04999999999999999,0.9596678756157102
11-2033,Fundraising Managers,Marketing,36260.0,137032.66409266408,4968804400.0,16,0,0.0,0.0,0.3095854860728615,0.0,0.0,0.0,494099405.7568616,0.0,,,
11-3012,Administrative Services Managers,Operations,253300.0,125336.40307935255,31747710900.0,18,2,0.1413785835593743,0.0037297164614878433,0.19187741605379363,4488446398.294508,118409959.95828703,118409959.95828703,4488446398.294508,0.0,0.0,0.14137858355937433,0.8837968028459565
11-3013,Facilities Managers,Operations,140440.0,114593.77741384221,16093550100.0,39,1,0.04470532681338819,0.0,0.34542117203591965,719467416.8081361,0.0,0.0,3976903932.1715593,236244634.22138992,0.1345,0.04470532681338819,0.9639776034011183
11-3021,Computer and Information Systems Managers,IT & software,645190.0,188041.7229033308,121322639200.0,17,1,0.040895031403371765,0.0,0.3207969448484154,4961493140.023942,0.0,0.0,29509210482.932514,0.0,0.1559,0.040895031403371765,0.9670733489061398
11-3031,Financial Managers,Finance,818060.0,180443.73982348482,147613805800.0,59,2,0.05669068062245286,0.0,0.3260839597871319,8368327120.072579,2021845226.9558473,2021845226.9558473,45668683418.729576,3957383406.0713854,0.3907,0.05669068062245286,0.954208530332744
11-3051,Industrial Production Managers,Operations,233360.0,129196.79936578676,30149365100.0,91,1,0.008231614069839627,0.0,0.18672301622679946,248177937.9538918,248177937.9538918,0.0,5178921020.57703,666133942.5813662,0.0132,0.008231614069839627,0.993416002857584
11-3061,Purchasing Managers,Procurement,79910.0,150406.51107495933,12018984300.0,18,3,0.20866910462153962,0.0,0.5286578376249634,2507990692.341342,1832989638.3861916,1832989638.3861916,2760563075.1206303,0.0,0.2004,0.20866910462153962,0.8260613566508452
11-3071,"Transportation, Storage, and Distribution Managers",Supply chain,211660.0,115641.5524898422,24476691000.0,60,5,0.0828826400284437,0.02005397633213703,0.44496734758877954,2028692769.2404475,1259852641.0735743,954533622.696248,4553374854.2983885,0.0,0.0956,0.08288264002844373,0.9326928717768482
11-3111,Compensation and Benefits Managers,People,18570.0,157307.38826063543,2921198200.0,22,1,0.020848322210139773,0.020848322210139773,0.4284313796913878,60902081.31328033,60902081.31328033,60902081.31328033,841450805.4524504,0.0,0.0,0.020848322210139773,0.9832820511856977
11-3121,Human Resources Managers,People,214050.0,160602.2125671572,34376903600.0,26,1,0.038942445875752574,0.038942445875752574,0.19966616025935272,1338720707.8189638,1338720707.8189638,1338720707.8189638,6903497157.06164,0.0,0.0,0.038942445875752574,0.9686579068054367
11-3131,Training and Development Managers,People,42310.0,140890.62632947293,5961082400.0,12,0,0.0,0.0,0.2857434351345642,0.0,0.0,0.0,1105466220.457367,0.0,0.3777,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Operations,4570.0,101263.34792122539,462773500.0,30,1,0.048858657122308045,0.0,0.2898305237067117,22610491.76179042,0.0,0.0,72893952.99562705,53167599.65705368,0.0,0.04885865712230803,0.9605976845238166
11-9021,Construction Managers,Operations,346570.0,119567.28857085148,41438435200.0,25,2,0.07922616708779956,0.0,0.5248432135354819,3283008391.0121546,0.0,0.0,6779893045.381997,0.0,0.1186,0.07922616708779956,0.9357103790586915
11-9031,"Education and Childcare Administrators, Preschool and Daycare",Education,71110.0,62641.38377162143,4454428800.0,17,1,0.08178924904524042,0.0,0.28257730359495437,364324386.47749144,0.0,0.0,906336866.3455361,0.0,0.0395,0.08178924904524042,0.933595667363219
11-9032,"Education Administrators, Kindergarten through Secondary",Education,319310.0,113359.73505370956,36196897000.0,32,1,0.0321082940806711,0.0,0.21077818189498876,1162220613.6837614,1162220613.6837614,1162220613.6837614,8990333749.142796,0.0,0.0525,0.0321082940806711,0.9741940600395851
11-9033,"Education Administrators, Postsecondary",Education,176080.0,124400.77351203999,21904488200.0,27,4,0.10605150415075029,0.0,0.23321667269142776,2323003921.2623606,1227628177.205766,1227628177.205766,2362690200.748703,0.0,0.0644,0.10605150415075029,0.9134671495522532
11-9041,Architectural and Engineering Managers,Engineering,207610.0,174859.93786426474,36302671700.0,37,3,0.09735938504139136,0.0,0.2079371445420644,3534405792.0715213,0.0,0.0,8436295474.795647,0.0,0.0306,0.09735938504139133,0.920701404010487
11-9051,Food Service Managers,Operations,243390.0,72294.7097251325,17595809400.0,28,4,0.10379546621565092,0.019215230276565902,0.509081204281601,1826365240.1147327,1529923220.142922,1529923220.142922,3207190200.573067,1562387737.7984333,0.0,0.10379546621565092,0.9153472858623803
11-9071,Gambling Managers,Operations,4500.0,102655.62222222223,461950300.0,19,5,0.23886352130484947,0.09675794310276215,0.5564402272688243,110343075.3258316,110343075.3258316,110343075.3258316,112451074.08086485,21008479.601527683,0.0,0.23886352130484942,0.7996198852429024
11-9072,"Entertainment and Recreation Managers, Except Gambling",Operations,36100.0,87175.1163434903,3147021700.0,17,2,0.13092680270983542,0.0,0.5826294812011803,412029489.2394709,152748767.78993344,152748767.78993344,575971849.5234262,276774472.4995136,,0.13092680270983545,0.8926201850711275
11-9081,Lodging Managers,Operations,39860.0,77441.26191670848,3086808700.0,24,5,0.2021828305843852,0.07829538525294698,0.4524771247464864,624099720.4385062,472302268.7455247,472302268.7455247,479640835.9219599,411032886.88393426,0.1215,0.2021828305843852,0.8316976725604881
11-9111,Medical and Health Services Managers,Clinical,564500.0,137643.38901682905,77699693100.0,18,1,0.04551082501053741,0.0,0.21420619685178532,3536177136.046561,0.0,0.0,16643755755.501905,0.0,0.0659,0.045510825010537416,0.9633225471129166
11-9121,Natural Sciences Managers,Operations,99620.0,173423.82051796827,17276481000.0,70,6,0.0740916768869662,0.0062023221628691215,0.3813176077460051,1280043447.9958107,973179972.1689302,973179972.1689302,2279845103.7016063,152446862.72837156,0.0613,0.07409167688696619,0.9399400023971314
11-9131,Postmasters and Mail Superintendents,Operations,13810.0,93760.0,1294825600.0,13,3,0.33114179559845613,0.0,0.5066645020459972,428770874.1708483,0.0,0.0,722487535.1766025,45762553.46691752,0.0,0.33114179559845613,0.7166745137476306
11-9141,"Property, Real Estate, and Community Association Managers",Operations,292500.0,81276.70153846154,23773435200.0,27,3,0.1155389553966567,0.03986158250692984,0.34287200872543566,2746757869.1981087,947646748.69795,947646748.69795,5871460718.812261,1354815905.7320328,0.1653,0.1155389553966567,0.9055413458972082
