naics,naics_title,total,know,freed,agreed3,blocked,share_total,share_know,payroll_scored_by_three
611100,Elementary and Secondary Schools,546636488700.0,423630825300.0,63417347235.91441,21373240402.641098,38377822664.14799,0.11601374688091584,0.1496995578426205,390480453876.5165
541500,Computer Systems Design and Related Services,298272336100.0,295560044100.0,43033778191.52058,16157801256.131124,19933517534.4487,0.14427680003516283,0.14560079770782716,240184559705.96216
551100,Management of Companies and Enterprises,319347618400.0,305621092700.0,42177763272.48677,11833412782.247112,20825463102.443005,0.13207477006970147,0.13800671576646964,228530256197.62665
622100,General Medical and Surgical Hospitals,515922740000.0,454914875700.0,39499717629.188,3465555829.4557686,24515464008.638638,0.07656130378976511,0.08682881070531676,178228152795.43073
5220A1,Credit Intermediation and Related Activities (5221 and 5223 only),172988349700.0,170689545300.0,33573842283.999844,7313233910.791056,17331779173.441685,0.19408152249688665,0.19669536423564335,99325035818.85036
621100,Offices of Physicians,298872614800.0,267374554700.0,32908484945.662514,2926463235.132028,13110547137.456888,0.11010873300547881,0.12308009257869187,155524805540.92148
611300,"Colleges, Universities, and Professional Schools",259947389700.0,229349179100.0,29919336808.910378,13173690063.219028,27908467054.67464,0.11509766204399927,0.13045321080423425,196331544622.8332
999300,"Local Government, excluding Schools and Hospitals (OEWS Designation)",392281903900.0,189278957800.0,29739095779.078693,5719472429.746793,18620662572.94909,0.07581052167693095,0.15711781237987507,115303106116.3422
524200,"Agencies, Brokerages, and Other Insurance Related Activities",113640817900.0,112964052500.0,26321174785.65209,3531745417.646079,16246024039.091139,0.23161725929158494,0.23300487370220796,53243702176.29271
541600,"Management, Scientific, and Technical Consulting Services",192287985000.0,185781843700.0,22831726207.257523,5753827471.902622,11330467115.184727,0.11873714422280478,0.12289535808529346,144956216725.0234
523000,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",161014087000.0,160377962900.0,22046367827.358276,5812489185.202943,17108053043.537436,0.13692198141246037,0.13746506956884583,115733898321.6792
