occ,occ_title,naics,naics_title,emp,wage_bill,passes_usd,agreed3_usd,payroll_scored_by_three
11-1021,General and Operations Managers,113300,Logging,550.0,53674500.0,0.0,0.0,53674500.0
11-3051,Industrial Production Managers,113300,Logging,40.0,4174000.0,64139.06540314753,0.0,4174000.0
11-9199,"Managers, All Other",113300,Logging,230.0,32131000.0,935225.7353733311,363329.36060362204,32131000.0
13-1081,Logisticians,113300,Logging,40.0,3233200.0,390921.76479148335,115156.83172876788,3233199.9999999995
13-2011,Accountants and Auditors,113300,Logging,180.0,16014600.0,1450719.5091714994,0.0,16014600.000000004
19-1032,Foresters,113300,Logging,620.0,46146600.0,0.0,0.0,46146600.0
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",113300,Logging,50.0,3174000.0,634800.0,423200.0,3173999.9999999995
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",113300,Logging,40.0,3021200.0,196367.7833420474,0.0,3021199.9999999995
43-1011,First-Line Supervisors of Office and Administrative Support Workers,113300,Logging,180.0,12880800.0,1257583.755132745,1257583.755132745,12880800.0
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",113300,Logging,960.0,45254400.0,19881776.269672614,5201300.296733585,45254400.0
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",113300,Logging,750.0,31665000.0,3157907.538059803,1903047.3259945905,31664999.999999996
43-9061,"Office Clerks, General",113300,Logging,1710.0,67989600.0,4093076.6369938087,4093076.6369938087,67989600.0
11-1011,Chief Executives,115100,Support Activities for Crop Production,130.0,32713200.0,0.0,0.0,32713200.0
11-1021,General and Operations Managers,115100,Support Activities for Crop Production,4270.0,449075900.0,0.0,0.0,449075900.0
11-2022,Sales Managers,115100,Support Activities for Crop Production,250.0,38722500.0,0.0,0.0,38722500.0
11-3012,Administrative Services Managers,115100,Support Activities for Crop Production,130.0,17219800.0,0.0,0.0,17219799.999999996
11-3013,Facilities Managers,115100,Support Activities for Crop Production,140.0,16049600.0,0.0,0.0,16049599.999999998
11-3021,Computer and Information Systems Managers,115100,Support Activities for Crop Production,100.0,16607000.0,0.0,0.0,16607000.0
11-3031,Financial Managers,115100,Support Activities for Crop Production,330.0,57024000.0,781049.5881268731,781049.5881268731,57023999.99999999
11-3051,Industrial Production Managers,115100,Support Activities for Crop Production,520.0,54267200.0,833887.7551618802,0.0,54267200.0
11-3061,Purchasing Managers,115100,Support Activities for Crop Production,50.0,6797500.0,1036672.2142178135,501156.1026255048,6797499.999999999
11-3071,"Transportation, Storage, and Distribution Managers",115100,Support Activities for Crop Production,240.0,26013600.0,728583.6701415104,289273.2485586792,26013600.000000007
11-3121,Human Resources Managers,115100,Support Activities for Crop Production,100.0,12414000.0,483431.52310159244,0.0,12414000.0
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",115100,Support Activities for Crop Production,2030.0,218468600.0,0.0,0.0,218468599.99999994
11-9199,"Managers, All Other",115100,Support Activities for Crop Production,240.0,35973600.0,1047070.9443847395,406780.5261775375,35973600.0
13-1041,Compliance Officers,115100,Support Activities for Crop Production,80.0,4738400.0,148401.32811004345,36378.83691747434,4738400.0
13-1071,Human Resources Specialists,115100,Support Activities for Crop Production,450.0,33030000.0,4091248.129662229,1337671.0164539183,33030000.0
13-1074,Farm Labor Contractors,115100,Support Activities for Crop Production,350.0,19337500.0,3384260.6058909246,0.0,19337500.0
13-1081,Logisticians,115100,Support Activities for Crop Production,180.0,13804200.0,1669046.8345708877,491663.9665193176,13804199.999999998
13-1082,Project Management Specialists,115100,Support Activities for Crop Production,60.0,5218800.0,521880.0,0.0,5218800.000000001
13-1111,Management Analysts,115100,Support Activities for Crop Production,40.0,3456400.0,0.0,0.0,3456400.0
13-1141,"Compensation, Benefits, and Job Analysis Specialists",115100,Support Activities for Crop Production,30.0,2034900.0,0.0,0.0,2034900.0
13-1151,Training and Development Specialists,115100,Support Activities for Crop Production,130.0,9588800.0,308173.1046772749,308173.1046772749,9588799.999999998
13-1161,Market Research Analysts and Marketing Specialists,115100,Support Activities for Crop Production,120.0,9700800.0,366055.0660517086,124965.69379936633,9700800.0
13-1199,"Business Operations Specialists, All Other",115100,Support Activities for Crop Production,470.0,43418600.0,4240198.220070755,3204135.000312194,43418600.00000001
13-2011,Accountants and Auditors,115100,Support Activities for Crop Production,840.0,74046000.0,6707627.838104783,0.0,74046000.00000001
15-1232,Computer User Support Specialists,115100,Support Activities for Crop Production,220.0,16130400.0,810735.8550702772,810735.8550702772,16130400.0
15-1244,Network and Computer Systems Administrators,115100,Support Activities for Crop Production,40.0,3927200.0,146241.0277874376,0.0,3927200.0
15-1252,Software Developers,115100,Support Activities for Crop Production,40.0,5782800.0,434543.3609154356,0.0,5782800.0
15-1299,"Computer Occupations, All Other",115100,Support Activities for Crop Production,40.0,3357600.0,167204.92563932666,67445.88980757141,3357600.0
17-2112,Industrial Engineers,115100,Support Activities for Crop Production,110.0,9238900.0,88207.2920734602,88207.2920734602,9238900.0
19-1012,Food Scientists and Technologists,115100,Support Activities for Crop Production,150.0,11766000.0,0.0,0.0,11766000.0
19-1013,Soil and Plant Scientists,115100,Support Activities for Crop Production,770.0,53145400.0,0.0,0.0,53145400.0
19-4012,Agricultural Technicians,115100,Support Activities for Crop Production,310.0,15137300.0,610332.5188304674,0.0,15137299.999999998
19-4013,Food Science Technicians,115100,Support Activities for Crop Production,80.0,4402400.0,821895.6994263969,0.0,4402400.0
19-5011,Occupational Health and Safety Specialists,115100,Support Activities for Crop Production,330.0,20205900.0,0.0,0.0,20205900.0
27-1024,Graphic Designers,115100,Support Activities for Crop Production,30.0,1606200.0,98686.74838955056,0.0,1606200.0
41-1011,First-Line Supervisors of Retail Sales Workers,115100,Support Activities for Crop Production,50.0,2617500.0,189109.63533217672,114943.77036221875,2617500.0
41-1012,First-Line Supervisors of Non-Retail Sales Workers,115100,Support Activities for Crop Production,50.0,4893500.0,520891.18903651065,342892.40570719505,4893499.999999999
41-2011,Cashiers,115100,Support Activities for Crop Production,40.0,1227200.0,127535.78073827484,47791.45548643237,1227200.0
