occ,title,function,emp,wage,wage_bill,time_share_basis,split,n_tasks,n_goes,share_passes,rule_strict,rule_loose,scorer_min,scorer_max,share_sonnet,share_gemini,share_gpt6,passes_usd,agreed3_usd,contested_usd,payroll_scored_by_three,not_called_usd,physical_removed_usd,accountable_removed_usd,ai_exposure,modelled_saving_usd,cost_share_stays_after_modelled
11-1011,Chief Executives,Executive,210750.0,263957.6830367734,55629081700.0,rated,direct,49,0,0.0,0.0,0.23306103711621268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55629081700.0,0.0,0.0,0.0,0.0333,0.0,
11-1021,General and Operations Managers,Executive,3584370.0,133114.97922926483,477133338100.0,rated,direct,17,0,0.0,0.0,0.1107223196719363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477133338100.0,0.0,0.0,0.0,0.1378,0.0,
11-1031,Legislators,Executive,26510.0,67382.50094304036,1786310100.0,equal,direct,30,0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786310100.0,0.0,0.0,0.0,0.0,0.0,
11-2011,Advertising and Promotions Managers,Operations,18500.0,154329.5081081081,2855095900.0,partly,direct,30,0,0.0,0.0,0.18612467119227172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2855095900.0,0.0,0.0,0.0,0.1731,0.0,
11-2021,Marketing Managers,Marketing,383070.0,172021.88607826247,65896423900.0,rated,direct,20,1,0.06327118762970912,0.0,0.19147853389722305,0.06327118762970912,0.06327118762970912,0.06327118762970912,0.06327118762970912,0.06327118762970912,4169345000.7037487,4169345000.7037487,0.0,65896423900.0,0.0,0.0,0.0,0.3195,1669401666.6548429,0.9488245396841887
11-2022,Sales Managers,Sales,602830.0,160920.72010351176,97007837700.0,rated,direct,17,0,0.0,0.0,0.23112953813697676,0.0,0.04722349660315733,0.04722349660315733,0.0,0.0,0.0,0.0,4581049294.105588,97007837700.0,0.0,0.0,0.0,0.0433,0.0,
11-2032,Public Relations Managers,Marketing,73800.0,164690.26422764227,12154141500.0,equal,direct,20,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12154141500.000002,0.0,0.0,0.0,0.2315,0.0,
11-2033,Fundraising Managers,Marketing,36260.0,137032.66409266408,4968804400.0,rated,direct,16,0,0.0,0.0,0.16268724646166177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4968804400.0,0.0,0.0,0.0,,0.0,
11-3012,Administrative Services Managers,Operations,253300.0,125336.40307935255,31747710900.0,partly,direct,18,0,0.0,0.0,0.2477443852114159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31747710899.999996,0.0,1792964177.5369081,0.0,0.0,0.0,
11-3013,Facilities Managers,Operations,140440.0,114593.77741384221,16093550100.0,rated,direct,39,0,0.0,0.0,0.1546238063984517,0.0,0.04470532681338819,0.04470532681338819,0.0,0.0,0.0,0.0,719467416.8081361,16093550099.999998,0.0,0.0,0.0,0.1345,0.0,
11-3021,Computer and Information Systems Managers,IT & software,645190.0,188041.7229033308,121322639200.0,rated,direct,17,0,0.0,0.0,0.24347021770427296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121322639200.0,0.0,0.0,0.0,0.1559,0.0,
11-3031,Financial Managers,Finance,818060.0,180443.73982348482,147613805800.0,rated,direct,59,1,0.013696857255311327,0.0,0.04872557399937162,0.013696857255311327,0.01893510196305589,0.01893510196305589,0.013696857255311327,0.013696857255311327,2021845226.9558473,2021845226.9558473,773237237.021884,147613805799.99997,0.0,0.0,0.0,0.3907,813613828.7358425,0.9890325705799553
11-3051,Industrial Production Managers,Operations,233360.0,129196.79936578676,30149365100.0,partly,direct,116,2,0.015366330954275881,0.0,0.20687505450170435,0.0,0.07876949100941068,0.07876949100941068,0.0,0.015366330954275881,463285122.18789494,0.0,2374850143.18389,30149365100.0,0.0,0.0,0.0,0.0132,186399875.83709484,0.9876916279723195
11-3061,Purchasing Managers,Procurement,79910.0,150406.51107495933,12018984300.0,rated,direct,18,2,0.1525078652766184,0.0,0.39174343333002354,0.07372653219941225,0.1525078652766184,0.1525078652766184,0.1525078652766184,0.07372653219941225,1832989638.3861916,886118032.9981803,946871605.3880112,12018984299.999998,0.0,0.0,0.0,0.2004,727287024.0613046,0.8743593269035539
11-3071,"Transportation, Storage, and Distribution Managers",Supply chain,211660.0,115641.5524898422,24476691000.0,partly,direct,60,2,0.028007798618473047,0.0,0.24609550167218028,0.011120077519400591,0.05886659698546974,0.05886659698546974,0.028007798618473047,0.011120077519400591,685538232.3745917,272182701.3384148,1168676803.2964597,24476691000.000004,0.0,0.0,0.0,0.0956,275470215.8583412,0.9775083957935269
11-3111,Compensation and Benefits Managers,People,18570.0,157307.38826063543,2921198200.0,rated,direct,22,1,0.020848322210139773,0.0,0.3282918343819896,0.020848322210139773,0.020848322210139773,0.020848322210139773,0.020848322210139773,0.020848322210139773,60902081.31328033,60902081.31328033,0.0,2921198199.9999995,0.0,0.0,0.0,0.0,24490018.626368634,0.9832820511856978
11-3121,Human Resources Managers,People,214050.0,160602.2125671572,34376903600.0,rated,direct,26,1,0.038942445875752574,0.0,0.16679490689487717,0.0,0.09142903867484117,0.09142903867484117,0.038942445875752574,0.0,1338720707.8189638,0.0,3143047248.765687,34376903600.0,0.0,0.0,0.0,0.0,537344641.7263936,0.9686579068054364
11-3131,Training and Development Managers,People,42310.0,140890.62632947293,5961082400.0,rated,direct,12,0,0.0,0.0,0.20908506208386557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5961082400.000001,0.0,0.0,0.0,0.3777,0.0,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Operations,4570.0,101263.34792122539,462773500.0,partly,direct,30,0,0.0,0.0,0.150049128405857,0.0,0.03465780297261159,0.0,0.0,0.03465780297261159,0.0,0.0,16038712.78394587,462773499.9999999,0.0,20510547.15219932,0.0,0.0,0.0,
11-9021,Construction Managers,Operations,346570.0,119567.28857085148,41438435200.0,rated,direct,25,0,0.0,0.0,0.16872237002665166,0.0,0.0367495132527218,0.0,0.0367495132527218,0.0,0.0,0.0,1522842323.5544536,41438435200.0,0.0,0.0,0.0,0.1186,0.0,
11-9031,"Education and Childcare Administrators, Preschool and Daycare",Education,71110.0,62641.38377162143,4454428800.0,rated,direct,17,0,0.0,0.0,0.12478992121888668,0.0,0.08178924904524042,0.08178924904524042,0.0,0.0,0.0,0.0,364324386.47749144,4454428799.999999,0.0,0.0,0.0,0.0395,0.0,
11-9032,"Education Administrators, Kindergarten through Secondary",Education,319310.0,113359.73505370956,36196897000.0,rated,direct,32,0,0.0,0.0,0.25018596897695056,0.0,0.0321082940806711,0.0321082940806711,0.0,0.0,0.0,0.0,1162220613.6837614,36196897000.0,0.0,0.0,0.0,0.0525,0.0,
11-9033,"Education Administrators, Postsecondary",Education,176080.0,124400.77351203999,21904488200.0,rated,direct,27,1,0.04072492989392564,0.0,0.11954145551229801,0.0,0.05604459533575251,0.05604459533575251,0.04072492989392564,0.0,892058746.3073214,0.0,1227628177.205766,21904488199.999996,0.0,0.0,0.0,0.0644,357995935.67788625,0.9672114392939942
11-9041,Architectural and Engineering Managers,Engineering,207610.0,174859.93786426474,36302671700.0,rated,direct,37,0,0.0,0.0,0.1539354770348014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36302671700.00001,0.0,0.0,0.0,0.0306,0.0,
11-9051,Food Service Managers,Operations,243390.0,72294.7097251325,17595809400.0,rated,direct,28,1,0.0185849143141889,0.0,0.1796253301581821,0.0185849143141889,0.0378001445907548,0.0378001445907548,0.0185849143141889,0.0185849143141889,327016609.98779964,327016609.98779964,338107529.5235629,17595809400.0,0.0,1559131852.9036899,0.0,0.0,131530362.69307946,0.9851038650424758
11-9071,Gambling Managers,Operations,4500.0,102655.62222222223,461950300.0,rated,direct,19,2,0.050249703955115646,0.02316541697438097,0.5395636454743027,0.0,0.19990482235634868,0.19990482235634868,0.10708833903832278,0.0,23212865.81697686,0.0,118602717.18724003,461950300.0000001,0.0,21008479.601527683,0.0,0.0,9306679.506520402,0.9594643936428638
11-9072,"Entertainment and Recreation Managers, Except Gambling",Operations,36100.0,87175.1163434903,3147021700.0,rated,direct,17,1,0.04853756419599314,0.0,0.4215286975283171,0.0,0.04853756419599314,0.04853756419599314,0.04853756419599314,0.0,152748767.78993344,0.0,152748767.78993344,3147021699.9999995,0.0,0.0,0.0,,61251819.84741897,0.9608591889576448
