id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
fa091e0ddb7e7e52,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-11,2026-09-11,2026-09-11T00:55:04.861675Z,https://artificialanalysis.ai/api/v2/data/llms/models,7d26b4817132c69f4384d29b7be46abb8190285472a65e46c36a37bcb4ce23d9,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 101.372,101.372,,,,,,,,False,,,approved,,
0b27f7b281970fd5,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-12,2026-09-12,2026-09-12T07:40:37.899151Z,https://artificialanalysis.ai/api/v2/data/llms/models,71ec2312175f43c70bc095ee56ee5cf31db6ee45950503d78b1c06345ad940b2,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 95.254,95.254,,,,,,,,False,,,approved,,
abf093f9e6947704,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-13,2026-09-13,2026-09-13T11:59:56.900462Z,https://artificialanalysis.ai/api/v2/data/llms/models,61104c5aa480335071c822fee2f1c111cbc43169f97c50af3379e4504c0d9161,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 93.548,93.548,,,,,,,,False,,,approved,,
d913029620bdf1c8,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-14,2026-09-14,2026-09-14T12:59:03.487276Z,https://artificialanalysis.ai/api/v2/data/llms/models,c318f17ae2a2bc5e0057cc9f3ea320c6a574cb2b5fc50a99d43113f5bbf8c0f2,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 89.625,89.625,,,,,,,,False,,,approved,,
6558cd284e28b542,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-15,2026-09-15,2026-09-15T11:52:18.189254Z,https://artificialanalysis.ai/api/v2/data/llms/models,bf62a8ea70e66e07ed45aaf98c30c5d03f2c3fadac04135a8ea6911db4c74912,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 76.076,76.076,,,,,,,,False,,,approved,,
df9bc4a44073ad17,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-21,2026-09-21,2026-09-21T04:47:21.504367Z,https://artificialanalysis.ai/api/v2/data/llms/models,54c96114bc6d08e3498d2a498c64c28d4db7e2f5fff27526be259369e168fc6c,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 82.664,82.664,,,,,,,,False,,,approved,,
35edf0190b02fa84,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-22,2026-09-22,2026-09-22T11:48:10.009664Z,https://artificialanalysis.ai/api/v2/data/llms/models,1e2f98aa64506d843c1a7cd49b73c21a11d385024f2fd2bec319054221ae7d33,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 98.882,98.882,,,,,,,,False,,,approved,,
4654438495e33d2f,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-23,2026-09-23,2026-09-23T11:47:51.600485Z,https://artificialanalysis.ai/api/v2/data/llms/models,907e4d2fbaea7fb70747f4a0c8b24f27ee5a609cfd9c6dd33a36c7bb4392bd39,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 107.148,107.148,,,,,,,,False,,,approved,,
10e62787324bd3d2,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-24,2026-09-24,2026-09-24T11:56:01.830665Z,https://artificialanalysis.ai/api/v2/data/llms/models,8493e6b9eefc53a0f9e32fd95dad5729eca5c1f2f7b789e80cbc1f66188a9a08,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 91.415,91.415,,,,,,,,False,,,approved,,
d079894085d1856d,aa.granite_4_2_8b.output_tokens_per_second.pt,tokens_per_second,2026-09-25,2026-09-25,2026-09-25T05:59:28.502662Z,https://artificialanalysis.ai/api/v2/data/llms/models,47ce05f8310e35776da0147952025154328b3bdcf952448fc6f1d23e6ca50333,200,artificial_analysis,3,reported,api,artificial_analysis-1,granite-4-2-8b (ibm) median_output_tokens_per_second 93.77,93.77,,,,,,,,False,,,approved,,
