occ,occ_title,naics,naics_title,emp,wage_bill,freed
11-1021,General and Operations Managers,113300,Logging,550.0,53674500.0,5771936.687648251
11-3051,Industrial Production Managers,113300,Logging,40.0,4174000.0,34358.7571275106
11-9199,"Managers, All Other",113300,Logging,230.0,32131000.0,3131825.7500038785
13-1081,Logisticians,113300,Logging,40.0,3233200.0,538354.5227168433
13-2011,Accountants and Auditors,113300,Logging,180.0,16014600.0,2399332.1684854976
19-1032,Foresters,113300,Logging,620.0,46146600.0,0.0
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",113300,Logging,50.0,3174000.0,1269600.0
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",113300,Logging,40.0,3021200.0,978220.0463188322
43-1011,First-Line Supervisors of Office and Administrative Support Workers,113300,Logging,180.0,12880800.0,2411241.177721452
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",113300,Logging,960.0,45254400.0,24884635.914120946
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",113300,Logging,750.0,31665000.0,3827316.0705503477
43-9061,"Office Clerks, General",113300,Logging,1710.0,67989600.0,10076794.168494668
11-1011,Chief Executives,115100,Support Activities for Crop Production,130.0,32713200.0,1229261.4229106884
11-1021,General and Operations Managers,115100,Support Activities for Crop Production,4270.0,449075900.0,48291789.63471773
11-2022,Sales Managers,115100,Support Activities for Crop Production,250.0,38722500.0,3102305.027790486
11-3012,Administrative Services Managers,115100,Support Activities for Crop Production,130.0,17219800.0,2434510.9331757138
11-3013,Facilities Managers,115100,Support Activities for Crop Production,140.0,16049600.0,717502.613224155
11-3021,Computer and Information Systems Managers,115100,Support Activities for Crop Production,100.0,16607000.0,679143.7865157949
11-3031,Financial Managers,115100,Support Activities for Crop Production,330.0,57024000.0,3232729.371814752
11-3051,Industrial Production Managers,115100,Support Activities for Crop Production,520.0,54267200.0,446706.647050801
11-3061,Purchasing Managers,115100,Support Activities for Crop Production,50.0,6797500.0,1418428.2386649156
11-3071,"Transportation, Storage, and Distribution Managers",115100,Support Activities for Crop Production,240.0,26013600.0,2156075.844643923
11-3121,Human Resources Managers,115100,Support Activities for Crop Production,100.0,12414000.0,483431.52310159244
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",115100,Support Activities for Crop Production,2030.0,218468600.0,10674082.419390667
