naics,naics_title,total,know,passes_usd,agreed3_usd,blocked,share_total,share_know,payroll_scored_by_three
541500,Computer Systems Design and Related Services,298272336100.0,295560044100.0,18844265820.080723,5404218311.043365,38094409768.63518,0.06317805421205042,0.06375782585045542,295560044100.0
551100,Management of Companies and Enterprises,319347618400.0,305621092700.0,17647935367.500206,6790631650.748558,30626203553.586285,0.055262461188594875,0.05774449404519195,305621092700.0
5220A1,Credit Intermediation and Related Activities (5221 and 5223 only),172988349700.0,170689545300.0,13740642112.224522,5037369847.523392,21863705468.18845,0.07943102605495589,0.08050078338467823,170689545300.0
611300,"Colleges, Universities, and Professional Schools",259947389700.0,229349179100.0,12974827204.506681,8288481311.236071,42559776008.72317,0.04991328137389903,0.05657237255185223,229349179100.0
524200,"Agencies, Brokerages, and Other Insurance Related Activities",113640817900.0,112964052500.0,12653632889.715445,2838872765.231325,13754347724.899977,0.11134760487952669,0.11201468617386443,112964052500.0
999300,"Local Government, excluding Schools and Hospitals (OEWS Designation)",392281903900.0,189278957800.0,10467810318.019554,4912926136.212464,25798494866.595253,0.026684407855550724,0.055303613458608944,189278957800.0
541600,"Management, Scientific, and Technical Consulting Services",192287985000.0,185781843700.0,9453602054.15148,3952697761.7298994,18639126693.407207,0.049163768886295624,0.05088550025059031,185781843700.0
541200,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",97445909800.0,96254111100.0,9255706184.672256,2447466288.8177996,7028313431.736355,0.09498301369107086,0.09615907392315273,96254111100.0
622100,General Medical and Surgical Hospitals,515922740000.0,454914875700.0,8929764033.840305,2779470842.137501,20918752957.01488,0.01730833580593929,0.01962952743653334,454914875700.0
524100,Insurance Carriers,115718882400.0,114785411200.0,8901294510.276487,2525829503.884894,12997057697.55765,0.07692171170049675,0.07754726334313543,114785411200.0
999100,Federal Executive Branch (OEWS Designation),238160888300.0,195114275400.0,8774164471.928238,3395556130.9519806,15926439053.260101,0.036841332489807636,0.04496936194924996,195114275400.0
561300,Employment Services,191270613500.0,116883191700.0,8267697650.197037,3310929949.0034,15494602165.94078,0.04322513270025684,0.07073470128551458,116883191700.0
611100,Elementary and Secondary Schools,546636488700.0,423630825300.0,8042619405.101507,2436391841.717528,73337843865.45877,0.014712920874031487,0.018984972114354556,423630825300.0
531000,Real Estate,120134345700.0,90867813900.0,7193313669.365817,2621822058.107537,10620397535.057579,0.05987724515792504,0.07916239381836628,90867813900.0
455000,General Merchandise Retailers,126497280800.0,75132882200.0,7014982162.685872,3634098717.878652,12979945381.124882,0.05545559650232317,0.09336767015023247,75132882200.0
621100,Offices of Physicians,298872614800.0,267374554700.0,6532181010.0624,2380154709.093057,14571046949.42148,0.021856070735800315,0.024430825204708233,267374554700.0
513200,Software Publishers,87359767400.0,87118025600.0,5930669955.535475,1865732804.5512776,11777030594.910078,0.06788788628958134,0.06807626681952116,87118025600.0
