function,payroll,emp,passes_usd,share_passes,rule_strict,rule_loose,roles,blocked_by_missing_check_usd,blocked_tasks,agreed3_usd,payroll_scored_by_three
Finance,608069343500.0,6924280.0,76952235027.062,0.1266,0.0157,0.4138,26,51344163882.51357,67,22275825966.2487,608069343500.0
Sales,481844376300.0,5054880.0,45727978379.79957,0.0949,0.032,0.4623,17,59555872447.38892,53,19886989665.896816,481844376299.99994
Customer support,173642660100.0,3965580.0,38894695983.98747,0.224,0.1223,0.824,4,86401576495.65714,25,21762630792.50791,173642660100.0
IT & software,676966541800.0,5401030.0,35984334851.494484,0.0532,0.0064,0.4241,16,89351576514.49806,105,4115865242.5764375,676966541800.0
Admin,432108601500.0,8192000.0,33848065410.93214,0.0783,0.0365,0.5691,22,120696302299.95728,99,26274656500.816124,432108601500.0
Retail front line,327952548800.0,8721920.0,33029432163.291092,0.1007,0.0424,0.3802,6,51583546785.12678,11,16976721551.010077,327952548800.0
Operations,508238582800.0,4655640.0,25938170858.796303,0.051,0.009,0.3118,21,53463617158.25214,54,9125893690.849083,508238582800.00006
Supply chain,169580373000.0,2830570.0,20537790494.885162,0.1211,0.0517,0.4633,14,17018658979.49141,37,9937792641.932968,169580373000.0
Education,556138554800.0,7553460.0,14895394075.358276,0.0268,0.0135,0.3121,62,105683122258.28021,290,9718059184.634083,556138554800.0
People,167260245200.0,1877200.0,12450887039.907547,0.0744,0.0505,0.5427,8,27613997077.753365,21,4237959260.6180573,167260245200.0
Clinical,1055984727800.0,9857040.0,9890757139.492662,0.0094,0.0007,0.1453,70,23924520741.495968,57,1225768056.2374578,1055984727800.0
Marketing,212516960200.0,2038350.0,9178627729.131037,0.0432,0.0054,0.3362,13,32140659578.864098,84,5559979919.442213,212516960200.0
Claims & underwriting,45895195800.0,641360.0,6774317324.541116,0.1476,0.0,0.6454,4,4570892280.721586,6,439142390.6790683,45895195800.0
Engineering,295341939400.0,2692950.0,5190582865.3198805,0.0176,0.002,0.2951,36,28804069133.18035,121,1359133035.77141,295341939400.0
Procurement,51412103200.00001,561180.0,4802961865.817594,0.0934,0.0114,0.3759,4,3341700432.398135,7,2412102073.347807,51412103200.0
Social services,134599047800.0,2076350.0,4089055579.150912,0.0304,0.0013,0.3437,13,11459623792.052835,23,342239271.4391874,134599047800.0
Data & analytics,46863950800.0,399700.0,4056312767.2204375,0.0866,0.0005,0.5803,6,8600358317.293282,21,1159339265.0686073,46863950800.00001
Creative,92341058000.0,1273500.0,2882962108.8847046,0.0312,0.0169,0.399,24,24563168438.77086,107,657927970.4878976,92341058000.0
Research,124530384300.0,1385140.0,2027234728.3026042,0.0163,0.0043,0.2508,47,11299223117.8883,120,479503128.1265364,124530384300.0
Legal & compliance,203072821000.0,1609150.0,1496825130.8182533,0.0074,0.0009,0.2209,8,13881252084.455873,22,438742345.8985005,203072820999.99997
Executive,534548729900.0,3821630.0,0.0,0.0,0.0,0.1235,3,1908975526.6577106,3,0.0,534548729900.0
Strategy,101440480400.0,888200.0,0.0,0.0,0.0,0.3847,1,0.0,0,0.0,101440480400.0
