id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,review_status,reviewer_id,supersedes_id
89622961be6d7af1,census_btos.us.ai_use_next6m_share_v2.2w,share,2025-11-16,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202524: 21.1%",0.21100000000000002,,0.20590400000000003,0.216096,2025-11-17,,,,False,,approved,,
aad989b2a1b4b8b7,census_btos.us.ai_use_next6m_share_v2.2w,share,2025-11-30,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202525: 20.9%",0.209,,0.20194399999999998,0.216056,2025-12-01,,,,False,,approved,,
fa945a6c58e05559,census_btos.us.ai_use_next6m_share_v2.2w,share,2025-12-14,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202526: 21.3%",0.213,,0.206728,0.219272,2025-12-15,,,,False,,approved,,
a1f37f40f34f7ba1,census_btos.us.ai_use_next6m_share_v2.2w,share,2025-12-28,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202601: 22.4%",0.22399999999999998,,0.21733599999999997,0.23066399999999998,2025-12-29,,,,False,,approved,,
13af34fec547fb47,census_btos.us.ai_use_next6m_share_v2.2w,share,2026-01-11,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202602: 22.1%",0.221,,0.216688,0.225312,2026-01-12,,,,False,,approved,,
41ac4c63f26f6325,census_btos.us.ai_use_next6m_share_v2.2w,share,2026-01-25,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202603: 22.1%",0.221,,0.213944,0.228056,2026-01-26,,,,False,,approved,,
d2963ab0e9a04f9f,census_btos.us.ai_use_next6m_share_v2.2w,share,2026-02-08,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202604: 21.0%",0.21,,0.203532,0.216468,2026-02-09,,,,False,,approved,,
676b851d29973c6c,census_btos.us.ai_use_next6m_share_v2.2w,share,2026-02-22,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202605: 21.8%",0.218,,0.213688,0.222312,2026-02-23,,,,False,,approved,,
409298833178d3d6,census_btos.us.ai_use_next6m_share_v2.2w,share,2026-03-08,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202606: 22.3%",0.223,,0.216924,0.229076,2026-03-09,,,,False,,approved,,
0b48b032894babc3,census_btos.us.ai_use_next6m_share_v2.2w,share,2026-03-22,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q24 'During the next six months, do you think this business will be using A' Yes, cycle 202607: 22.5%",0.225,,0.218728,0.231272,2026-03-23,,,,False,,approved,,
