id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,review_status,reviewer_id,supersedes_id
0ba873b6fa3709ed,census_btos.us.ai_use_share_v2.2w,share,2025-11-16,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202524: 17.3%",0.17300000000000001,,0.169472,0.17652800000000002,2025-11-17,,,,False,,approved,,
3e7fdc8f07478bf9,census_btos.us.ai_use_share_v2.2w,share,2025-11-30,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202525: 17.2%",0.172,,0.16749199999999997,0.176508,2025-12-01,,,,False,,approved,,
3cbf0c3ae46bfc13,census_btos.us.ai_use_share_v2.2w,share,2025-12-14,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202526: 17.8%",0.17800000000000002,,0.16878800000000002,0.18721200000000002,2025-12-15,,,,False,,approved,,
79c139d162892abf,census_btos.us.ai_use_share_v2.2w,share,2025-12-28,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202601: 17.7%",0.177,,0.17112,0.18288,2025-12-29,,,,False,,approved,,
c7015db929d7e0dc,census_btos.us.ai_use_share_v2.2w,share,2026-01-11,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202602: 18.2%",0.182,,0.177296,0.18670399999999998,2026-01-12,,,,False,,approved,,
566d45029ee5a4fa,census_btos.us.ai_use_share_v2.2w,share,2026-01-25,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202603: 18.9%",0.18899999999999997,,0.18135599999999996,0.19664399999999999,2026-01-26,,,,False,,approved,,
2d783f21dcf8c9b2,census_btos.us.ai_use_share_v2.2w,share,2026-02-08,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202604: 17.5%",0.175,,0.16715999999999998,0.18284,2026-02-09,,,,False,,approved,,
fd89a41c0765f77c,census_btos.us.ai_use_share_v2.2w,share,2026-02-22,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202605: 18.2%",0.182,,0.175728,0.188272,2026-02-23,,,,False,,approved,,
76ac9013e075639e,census_btos.us.ai_use_share_v2.2w,share,2026-03-08,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202606: 18.9%",0.18899999999999997,,0.18272799999999997,0.19527199999999997,2026-03-09,,,,False,,approved,,
bd3738e85e499e66,census_btos.us.ai_use_share_v2.2w,share,2026-03-22,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202607: 19.1%",0.191,,0.182768,0.199232,2026-03-23,,,,False,,approved,,
cab41139800b267c,census_btos.us.ai_use_share_v2.2w,share,2026-04-05,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202608: 19.8%",0.198,,0.19231600000000001,0.203684,2026-04-06,,,,False,,approved,,
f403146ab657f474,census_btos.us.ai_use_share_v2.2w,share,2026-04-19,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202609: 19.8%",0.198,,0.19329600000000002,0.202704,2026-04-20,,,,False,,approved,,
f152663fb2e8ea53,census_btos.us.ai_use_share_v2.2w,share,2026-05-03,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202610: 19.5%",0.195,,0.19029600000000002,0.199704,2026-05-04,,,,False,,approved,,
955af5a5e7888769,census_btos.us.ai_use_share_v2.2w,share,2026-05-03,2026-05-26,2026-09-10T01:28:40.293469Z,https://www.census.gov/library/stories/2026/05/ai-use-businesses.html,22e197fc9afc71f85970ae408bd6489339fd45bcae30bcb343731fff7b0aa191,200,census_btos,4,reported,manual,manual-1,"As of May 3, 2026, the AI use rates in the Information (39.7%) and Finance and Insurance (33.9%) sectors were both higher than the national rate (19.8%)",0.198,,,,,,,,False,,approved,alex-merge-pending,
055167ab75f1123a,census_btos.us.ai_use_share_v2.2w,share,2026-05-17,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202611: 20.6%",0.20600000000000002,,0.20031600000000002,0.211684,2026-05-18,,,,False,,approved,,
0879d2039624e008,census_btos.us.ai_use_share_v2.2w,share,2026-05-31,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202612: 20.6%",0.20600000000000002,,0.20070800000000003,0.211292,2026-06-01,,,,False,,approved,,
1aa211a1f81b050b,census_btos.us.ai_use_share_v2.2w,share,2026-06-14,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202613: 20.6%",0.20600000000000002,,0.198356,0.21364400000000003,2026-06-15,,,,False,,approved,,
504bd817fa0d2aa0,census_btos.us.ai_use_share_v2.2w,share,2026-06-28,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202614: 21.7%",0.217,,0.210924,0.223076,2026-06-29,,,,False,,approved,,
afecd68263514946,census_btos.us.ai_use_share_v2.2w,share,2026-07-12,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202615: 21.5%",0.215,,0.206768,0.22323199999999999,2026-07-13,,,,False,,approved,,
11db02739b0d6074,census_btos.us.ai_use_share_v2.2w,share,2026-07-26,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202616: 21.8%",0.218,,0.211532,0.224468,2026-07-27,,,,False,,approved,,
bb472afbee7ab7eb,census_btos.us.ai_use_share_v2.2w,share,2026-08-09,2026-08-26,2026-09-10T02:19:49.182284Z,https://www.census.gov/hfp/btos/downloads/National.xlsx,0db08921d1feaf2f1ee6516a4118424183941d5460d2330a9659cacbe1046dc7,200,census_btos,4,reported,api,census_btos-1,"Q7 'In the last two weeks, did this business use Artificial Intelligence (' Yes, cycle 202617: 22.4%",0.22399999999999998,,0.21694399999999997,0.23105599999999998,2026-08-10,,,,False,,approved,,
