id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
a944ae7ef1dd89e9,epoch_chips.amd.power_mw_cumulative.pt,MW,2024-03-31,2024-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2024-03-31"", ""Name"": ""AMD total Q1 2024 to Q1 2024"", ""Power in MW (5th percentile)"": ""33.0"", ""Power in MW (95th percentile)"": ""56.0"", ""Power in MW (median)"": ""44.0"", ""Start date"": ""2024-01-01""}",44.0,,33.0,56.0,2024-01-01,,,,False,,,approved,,
49161e346241a4d7,epoch_chips.amd.power_mw_cumulative.pt,MW,2024-06-30,2024-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2024-06-30"", ""Name"": ""AMD total Q1 2024 to Q2 2024"", ""Power in MW (5th percentile)"": ""94.0"", ""Power in MW (95th percentile)"": ""142.0"", ""Power in MW (median)"": ""116.0"", ""Start date"": ""2024-01-01""}",116.0,,94.0,142.0,2024-01-01,,,,False,,,approved,,
94a08c606ce04944,epoch_chips.amd.power_mw_cumulative.pt,MW,2024-09-30,2024-09-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2024-09-30"", ""Name"": ""AMD total Q1 2024 to Q3 2024"", ""Power in MW (5th percentile)"": ""186.0"", ""Power in MW (95th percentile)"": ""266.0"", ""Power in MW (median)"": ""223.0"", ""Start date"": ""2024-01-01""}",223.0,,186.0,266.0,2024-01-01,,,,False,,,approved,,
7672c985ddbb80c9,epoch_chips.amd.power_mw_cumulative.pt,MW,2024-12-31,2024-12-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2024-12-31"", ""Name"": ""AMD total Q1 2024 to Q4 2024"", ""Power in MW (5th percentile)"": ""294.0"", ""Power in MW (95th percentile)"": ""415.0"", ""Power in MW (median)"": ""351.0"", ""Start date"": ""2024-01-01""}",351.0,,294.0,415.0,2024-01-01,,,,False,,,approved,,
6bcecfe19679ed4d,epoch_chips.amd.power_mw_cumulative.pt,MW,2025-03-31,2025-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2025-03-31"", ""Name"": ""AMD total Q1 2024 to Q1 2025"", ""Power in MW (5th percentile)"": ""376.0"", ""Power in MW (95th percentile)"": ""538.0"", ""Power in MW (median)"": ""453.0"", ""Start date"": ""2024-01-01""}",453.0,,376.0,538.0,2024-01-01,,,,False,,,approved,,
f249057bc1aa8bd7,epoch_chips.amd.power_mw_cumulative.pt,MW,2025-06-30,2025-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2025-06-30"", ""Name"": ""AMD total Q1 2024 to Q2 2025"", ""Power in MW (5th percentile)"": ""431.0"", ""Power in MW (95th percentile)"": ""621.0"", ""Power in MW (median)"": ""519.0"", ""Start date"": ""2024-01-01""}",519.0,,431.0,621.0,2024-01-01,,,,False,,,approved,,
1ade77df380417b3,epoch_chips.amd.power_mw_cumulative.pt,MW,2025-09-30,2025-09-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2025-09-30"", ""Name"": ""AMD total Q1 2024 to Q3 2025"", ""Power in MW (5th percentile)"": ""525.0"", ""Power in MW (95th percentile)"": ""744.0"", ""Power in MW (median)"": ""629.0"", ""Start date"": ""2024-01-01""}",629.0,,525.0,744.0,2024-01-01,,,,False,,,approved,,
f6ba386254d8b199,epoch_chips.amd.power_mw_cumulative.pt,MW,2025-12-31,2025-12-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2025-12-31"", ""Name"": ""AMD total Q1 2024 to Q4 2025"", ""Power in MW (5th percentile)"": ""649.0"", ""Power in MW (95th percentile)"": ""891.0"", ""Power in MW (median)"": ""762.0"", ""Start date"": ""2024-01-01""}",762.0,,649.0,891.0,2024-01-01,,,,False,,,approved,,
54136c5b8d01915a,epoch_chips.amd.power_mw_cumulative.pt,MW,2026-03-31,2026-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2026-03-31"", ""Name"": ""AMD total Q1 2024 to Q1 2026"", ""Power in MW (5th percentile)"": ""763.0"", ""Power in MW (95th percentile)"": ""1023.0"", ""Power in MW (median)"": ""885.0"", ""Start date"": ""2024-01-01""}",885.0,,763.0,1023.0,2024-01-01,,,,False,,,approved,,
ca92b37f7c08df76,epoch_chips.amd.power_mw_cumulative.pt,MW,2026-06-30,2026-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""AMD"", ""End date"": ""2026-06-30"", ""Name"": ""AMD total Q1 2024 to Q2 2026"", ""Power in MW (5th percentile)"": ""893.0"", ""Power in MW (95th percentile)"": ""1179.0"", ""Power in MW (median)"": ""1027.0"", ""Start date"": ""2024-01-01""}",1027.0,,893.0,1179.0,2024-01-01,,,,False,,,approved,,
