id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
fd3e938e22bee3d9,epoch_chips.google.power_mw_cumulative.pt,MW,2022-12-31,2022-12-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2022-12-31"", ""Name"": ""Google TPU total Q4 2022 to Q4 2022"", ""Power in MW (5th percentile)"": ""22.0"", ""Power in MW (95th percentile)"": ""38.0"", ""Power in MW (median)"": ""29.0"", ""Start date"": ""2022-10-01""}",29.0,,22.0,38.0,2022-10-01,,,,False,,,approved,,
8515364dcb024796,epoch_chips.google.power_mw_cumulative.pt,MW,2023-03-31,2023-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2023-03-31"", ""Name"": ""Google TPU total Q4 2022 to Q1 2023"", ""Power in MW (5th percentile)"": ""62.0"", ""Power in MW (95th percentile)"": ""103.0"", ""Power in MW (median)"": ""81.0"", ""Start date"": ""2022-10-01""}",81.0,,62.0,103.0,2022-10-01,,,,False,,,approved,,
3b63c6c0bbb317f7,epoch_chips.google.power_mw_cumulative.pt,MW,2023-06-30,2023-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2023-06-30"", ""Name"": ""Google TPU total Q4 2022 to Q2 2023"", ""Power in MW (5th percentile)"": ""101.0"", ""Power in MW (95th percentile)"": ""165.0"", ""Power in MW (median)"": ""131.0"", ""Start date"": ""2022-10-01""}",131.0,,101.0,165.0,2022-10-01,,,,False,,,approved,,
affc9b3e2b15d05d,epoch_chips.google.power_mw_cumulative.pt,MW,2023-09-30,2023-09-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2023-09-30"", ""Name"": ""Google TPU total Q4 2022 to Q3 2023"", ""Power in MW (5th percentile)"": ""148.0"", ""Power in MW (95th percentile)"": ""240.0"", ""Power in MW (median)"": ""192.0"", ""Start date"": ""2022-10-01""}",192.0,,148.0,240.0,2022-10-01,,,,False,,,approved,,
c68318f484a2cdf1,epoch_chips.google.power_mw_cumulative.pt,MW,2023-12-31,2023-12-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2023-12-31"", ""Name"": ""Google TPU total Q4 2022 to Q4 2023"", ""Power in MW (5th percentile)"": ""221.0"", ""Power in MW (95th percentile)"": ""360.0"", ""Power in MW (median)"": ""287.0"", ""Start date"": ""2022-10-01""}",287.0,,221.0,360.0,2022-10-01,,,,False,,,approved,,
246188c659850d4b,epoch_chips.google.power_mw_cumulative.pt,MW,2024-03-31,2024-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2024-03-31"", ""Name"": ""Google TPU total Q4 2022 to Q1 2024"", ""Power in MW (5th percentile)"": ""330.0"", ""Power in MW (95th percentile)"": ""533.0"", ""Power in MW (median)"": ""427.0"", ""Start date"": ""2022-10-01""}",427.0,,330.0,533.0,2022-10-01,,,,False,,,approved,,
4dad3e8dc568f653,epoch_chips.google.power_mw_cumulative.pt,MW,2024-06-30,2024-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2024-06-30"", ""Name"": ""Google TPU total Q4 2022 to Q2 2024"", ""Power in MW (5th percentile)"": ""461.0"", ""Power in MW (95th percentile)"": ""733.0"", ""Power in MW (median)"": ""591.0"", ""Start date"": ""2022-10-01""}",591.0,,461.0,733.0,2022-10-01,,,,False,,,approved,,
4f796671207c6de1,epoch_chips.google.power_mw_cumulative.pt,MW,2024-09-30,2024-09-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2024-09-30"", ""Name"": ""Google TPU total Q4 2022 to Q3 2024"", ""Power in MW (5th percentile)"": ""607.0"", ""Power in MW (95th percentile)"": ""953.0"", ""Power in MW (median)"": ""775.0"", ""Start date"": ""2022-10-01""}",775.0,,607.0,953.0,2022-10-01,,,,False,,,approved,,
e34a7fb5fe644a7f,epoch_chips.google.power_mw_cumulative.pt,MW,2024-12-31,2024-12-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2024-12-31"", ""Name"": ""Google TPU total Q4 2022 to Q4 2024"", ""Power in MW (5th percentile)"": ""775.0"", ""Power in MW (95th percentile)"": ""1205.0"", ""Power in MW (median)"": ""985.0"", ""Start date"": ""2022-10-01""}",985.0,,775.0,1205.0,2022-10-01,,,,False,,,approved,,
2a5ec8d8c640597f,epoch_chips.google.power_mw_cumulative.pt,MW,2025-03-31,2025-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Google"", ""End date"": ""2025-03-31"", ""Name"": ""Google TPU total Q4 2022 to Q1 2025"", ""Power in MW (5th percentile)"": ""965.0"", ""Power in MW (95th percentile)"": ""1473.0"", ""Power in MW (median)"": ""1215.0"", ""Start date"": ""2022-10-01""}",1215.0,,965.0,1473.0,2022-10-01,,,,False,,,approved,,
