id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
221b9219a953a677,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2022-03-31,2022-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2022-03-31"", ""Name"": ""Nvidia total Q1 2022 to Q1 2022"", ""Power in MW (5th percentile)"": ""65.0"", ""Power in MW (95th percentile)"": ""110.0"", ""Power in MW (median)"": ""84.0"", ""Start date"": ""2022-01-01""}",84.0,,65.0,110.0,2022-01-01,,,,False,,,approved,,
90b3f97783219508,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2022-06-30,2022-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2022-06-30"", ""Name"": ""Nvidia total Q1 2022 to Q2 2022"", ""Power in MW (5th percentile)"": ""135.0"", ""Power in MW (95th percentile)"": ""228.0"", ""Power in MW (median)"": ""175.0"", ""Start date"": ""2022-01-01""}",175.0,,135.0,228.0,2022-01-01,,,,False,,,approved,,
f0be76c1f2947993,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2022-09-30,2022-09-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2022-09-30"", ""Name"": ""Nvidia total Q1 2022 to Q3 2022"", ""Power in MW (5th percentile)"": ""205.0"", ""Power in MW (95th percentile)"": ""345.0"", ""Power in MW (median)"": ""265.0"", ""Start date"": ""2022-01-01""}",265.0,,205.0,345.0,2022-01-01,,,,False,,,approved,,
ccdadbb333845f29,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2022-12-31,2022-12-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2022-12-31"", ""Name"": ""Nvidia total Q1 2022 to Q4 2022"", ""Power in MW (5th percentile)"": ""271.0"", ""Power in MW (95th percentile)"": ""443.0"", ""Power in MW (median)"": ""345.0"", ""Start date"": ""2022-01-01""}",345.0,,271.0,443.0,2022-01-01,,,,False,,,approved,,
4e78ce13ce370001,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2023-03-31,2023-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2023-03-31"", ""Name"": ""Nvidia total Q1 2022 to Q1 2023"", ""Power in MW (5th percentile)"": ""340.0"", ""Power in MW (95th percentile)"": ""537.0"", ""Power in MW (median)"": ""426.0"", ""Start date"": ""2022-01-01""}",426.0,,340.0,537.0,2022-01-01,,,,False,,,approved,,
8a9521ae24c8a949,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2023-06-30,2023-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2023-06-30"", ""Name"": ""Nvidia total Q1 2022 to Q2 2023"", ""Power in MW (5th percentile)"": ""484.0"", ""Power in MW (95th percentile)"": ""725.0"", ""Power in MW (median)"": ""590.0"", ""Start date"": ""2022-01-01""}",590.0,,484.0,725.0,2022-01-01,,,,False,,,approved,,
027a83e3723c5599,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2023-09-30,2023-09-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2023-09-30"", ""Name"": ""Nvidia total Q1 2022 to Q3 2023"", ""Power in MW (5th percentile)"": ""703.0"", ""Power in MW (95th percentile)"": ""1018.0"", ""Power in MW (median)"": ""847.0"", ""Start date"": ""2022-01-01""}",847.0,,703.0,1018.0,2022-01-01,,,,False,,,approved,,
1480ac5fcd491666,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2023-12-31,2023-12-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2023-12-31"", ""Name"": ""Nvidia total Q1 2022 to Q4 2023"", ""Power in MW (5th percentile)"": ""978.0"", ""Power in MW (95th percentile)"": ""1386.0"", ""Power in MW (median)"": ""1168.0"", ""Start date"": ""2022-01-01""}",1168.0,,978.0,1386.0,2022-01-01,,,,False,,,approved,,
d5d9afdd6b66fac9,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2024-03-31,2024-03-31,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2024-03-31"", ""Name"": ""Nvidia total Q1 2022 to Q1 2024"", ""Power in MW (5th percentile)"": ""1355.0"", ""Power in MW (95th percentile)"": ""1897.0"", ""Power in MW (median)"": ""1611.0"", ""Start date"": ""2022-01-01""}",1611.0,,1355.0,1897.0,2022-01-01,,,,False,,,approved,,
527fa0adbf143f26,epoch_chips.nvidia.power_mw_cumulative.pt,MW,2024-06-30,2024-06-30,2026-09-21T04:38:22.863163Z,https://epoch.ai/data/ai_chip_sales.zip,15907a6f9e418dcf5df00b3c370143d21dde60f49d3097f1469b644048a1fbd4,200,epoch_chips,6,estimated,api,epoch_chips-1,"{""Chip manufacturer"": ""Nvidia"", ""End date"": ""2024-06-30"", ""Name"": ""Nvidia total Q1 2022 to Q2 2024"", ""Power in MW (5th percentile)"": ""1818.0"", ""Power in MW (95th percentile)"": ""2536.0"", ""Power in MW (median)"": ""2160.0"", ""Start date"": ""2022-01-01""}",2160.0,,1818.0,2536.0,2022-01-01,,,,False,,,approved,,
