id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
96c4b6586d79d063,epoch_dc.huawei_wuhu.power_mw.pt,MW,2023-01-01,2023-01-01,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""0.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2023-01-01"", ""IT power (MW)"": ""0.0"", ""Power (MW)"": ""0.0""}",0.0,,,,,,,,False,,,approved,,
d3dbd562b69b0806,epoch_dc.huawei_wuhu.power_mw.pt,MW,2025-01-01,2025-01-01,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""1.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2025-01-01"", ""IT power (MW)"": ""45.0"", ""Power (MW)"": ""51.0""}",51.0,,,,,,,,False,,,approved,,
40d893e1f042e5f2,epoch_dc.huawei_wuhu.power_mw.pt,MW,2025-03-01,2025-03-01,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""3.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2025-03-01"", ""IT power (MW)"": ""119.0"", ""Power (MW)"": ""137.0""}",137.0,,,,,,,,False,,,approved,,
307276ca3fe2773c,epoch_dc.huawei_wuhu.power_mw.pt,MW,2025-11-01,2025-11-01,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""4.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2025-11-01"", ""IT power (MW)"": ""157.0"", ""Power (MW)"": ""181.0""}",181.0,,,,,,,,False,,,approved,,
730689d65e794444,epoch_dc.huawei_wuhu.power_mw.pt,MW,2026-01-24,2026-01-24,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""4.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2026-01-24"", ""IT power (MW)"": ""157.0"", ""Power (MW)"": ""181.0""}",181.0,,,,,,,,False,,,approved,,
a8889f6d229db620,epoch_dc.huawei_wuhu.power_mw.pt,MW,2026-06-01,2026-06-01,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""4.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2026-06-01"", ""IT power (MW)"": ""157.0"", ""Power (MW)"": ""181.0""}",181.0,,,,,,,,False,,,approved,,
4caa9c139e5521b0,epoch_dc.huawei_wuhu.power_mw.pt,MW,2026-08-06,2026-08-06,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""4.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2026-08-06"", ""IT power (MW)"": ""157.0"", ""Power (MW)"": ""181.0""}",181.0,,,,,,,,False,,,approved,,
75d3acaac5d19d88,epoch_dc.huawei_wuhu.power_mw.pt,MW,2026-11-01,2026-09-22,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""5.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2026-11-01"", ""IT power (MW)"": ""199.0"", ""Power (MW)"": ""229.0""}",229.0,,,,,,,,False,,Epoch's projection: this date had not arrived when the file was read,approved,,
436494561c5be037,epoch_dc.huawei_wuhu.power_mw.pt,MW,2026-12-31,2026-09-22,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""6.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2026-12-31"", ""IT power (MW)"": ""364.0"", ""Power (MW)"": ""419.0""}",419.0,,,,,,,,False,,Epoch's projection: this date had not arrived when the file was read,approved,,
3f3aadb312ee68ee,epoch_dc.huawei_wuhu.power_mw.pt,MW,2027-12-01,2026-09-22,2026-09-22T11:51:37.885110Z,https://epoch.ai/data/data_centers/data_centers.zip,ebd165b1c39fef52b115409bf8a9c8a1aefad0ec0629eb1d39819ea24bdd2dfd,200,epoch_datacenters,6,estimated,api,epoch_datacenters-1,"{""Buildings operational"": ""8.0"", ""Data center"": ""Huawei Wuhu"", ""Date"": ""2027-12-01"", ""IT power (MW)"": ""457.0"", ""Power (MW)"": ""526.0""}",526.0,,,,,,,,False,,Epoch's projection: this date had not arrived when the file was read,approved,,
