id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,review_status,reviewer_id,supersedes_id
38f96a1bfe61a31d,owid.private_investment.corporate_ai_investment_usd.a,USD,2013-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2013: Global corporate investment in AI = 6013620207,6013620207.0,,,,,,,,False,,approved,,
a56b535c29cb04b8,owid.private_investment.corporate_ai_investment_usd.a,USD,2014-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2014: Global corporate investment in AI = 10942456611,10942456611.0,,,,,,,,False,,approved,,
1b8586b0c3e07535,owid.private_investment.corporate_ai_investment_usd.a,USD,2015-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2015: Global corporate investment in AI = 15262405843,15262405843.0,,,,,,,,False,,approved,,
bd897e3ea8e1d80d,owid.private_investment.corporate_ai_investment_usd.a,USD,2016-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2016: Global corporate investment in AI = 19339918504,19339918504.0,,,,,,,,False,,approved,,
dd14b4471a60e487,owid.private_investment.corporate_ai_investment_usd.a,USD,2017-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2017: Global corporate investment in AI = 28432393865,28432393865.0,,,,,,,,False,,approved,,
a784b09db961fbcd,owid.private_investment.corporate_ai_investment_usd.a,USD,2018-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2018: Global corporate investment in AI = 46509284444,46509284444.0,,,,,,,,False,,approved,,
892e4c7092f37b48,owid.private_investment.corporate_ai_investment_usd.a,USD,2019-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2019: Global corporate investment in AI = 61664788747,61664788747.0,,,,,,,,False,,approved,,
77fe3be711c49d0f,owid.private_investment.corporate_ai_investment_usd.a,USD,2020-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2020: Global corporate investment in AI = 77256671006,77256671006.0,,,,,,,,False,,approved,,
dfe6dfd08a5f1dfa,owid.private_investment.corporate_ai_investment_usd.a,USD,2021-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2021: Global corporate investment in AI = 145399993896,145399993896.0,,,,,,,,False,,approved,,
6e07ce0aadf85c3f,owid.private_investment.corporate_ai_investment_usd.a,USD,2022-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2022: Global corporate investment in AI = 104636245902,104636245902.0,,,,,,,,False,,approved,,
ef17baa747282af0,owid.private_investment.corporate_ai_investment_usd.a,USD,2023-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2023: Global corporate investment in AI = 92789050680,92789050680.0,,,,,,,,False,,approved,,
caff6af36de5f6a9,owid.private_investment.corporate_ai_investment_usd.a,USD,2024-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2024: Global corporate investment in AI = 130851050672,130851050672.0,,,,,,,,False,,approved,,
9650afa715448993,owid.private_investment.corporate_ai_investment_usd.a,USD,2025-12-31,2026-09-10,2026-09-10T06:40:55.513073Z,https://ourworldindata.org/grapher/corporate-investment-in-artificial-intelligence-by-type.csv,d9959b89e7fbcd1c140b4e0db40c350142eddc78bbb5cd3a356f3611de7ab673,200,owid,6,reported,api,owid-1,Private investment 2025: Global corporate investment in AI = 290090244534,290090244534.0,,,,,,,,False,,approved,,
