id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
d575f81a8139613d,sec.applied_digital.cost_of_revenue.q,USD,2021-02-28,2022-05-13,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001628280-22-014389"", ""end"": ""2021-02-28"", ""filed"": ""2022-05-13"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2021Q1"", ""fy"": 2022, ""start"": ""2020-12-01"", ""val"": 0}}",0.0,,,,2020-12-01,applied_digital,,,False,,,approved,,
f8e25469570da899,sec.applied_digital.cost_of_revenue.q,USD,2021-08-31,2022-10-12,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001144879-22-000052"", ""end"": ""2021-08-31"", ""filed"": ""2022-10-12"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2021Q3"", ""fy"": 2023, ""start"": ""2021-06-01"", ""val"": 0}}",0.0,,,,2021-06-01,applied_digital,,,False,,,approved,,
5083e9aa815a1175,sec.applied_digital.cost_of_revenue.q,USD,2021-11-30,2023-01-10,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001144879-23-000028"", ""end"": ""2021-11-30"", ""filed"": ""2023-01-10"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2021Q4"", ""fy"": 2023, ""start"": ""2021-09-01"", ""val"": 0}}",0.0,,,,2021-09-01,applied_digital,,,False,,,approved,,
f5d09d8eab501951,sec.applied_digital.cost_of_revenue.q,USD,2022-02-28,2023-04-06,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001144879-23-000101"", ""end"": ""2022-02-28"", ""filed"": ""2023-04-06"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2022Q1"", ""fy"": 2023, ""start"": ""2021-12-01"", ""val"": 2073000}}",2073000.0,,,,2021-12-01,applied_digital,,,False,,,approved,,
53d16cd397c0d9be,sec.applied_digital.cost_of_revenue.q,USD,2022-08-31,2023-10-10,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001898844-23-000006"", ""end"": ""2022-08-31"", ""filed"": ""2023-10-10"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2022Q3"", ""fy"": 2024, ""start"": ""2022-06-01"", ""val"": 6093000}}",6093000.0,,,,2022-06-01,applied_digital,,,False,,,approved,,
5921a9cfdc88e911,sec.applied_digital.cost_of_revenue.q,USD,2022-11-30,2024-01-16,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001144879-24-000010"", ""end"": ""2022-11-30"", ""filed"": ""2024-01-16"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2022Q4"", ""fy"": 2024, ""start"": ""2022-09-01"", ""val"": 11812000}}",11812000.0,,,,2022-09-01,applied_digital,,,False,,,approved,,
9adde4a9641d7fbb,sec.applied_digital.cost_of_revenue.q,USD,2023-02-28,2024-04-11,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001144879-24-000078"", ""end"": ""2023-02-28"", ""filed"": ""2024-04-11"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2023Q1"", ""fy"": 2024, ""start"": ""2022-12-01"", ""val"": 10533000}}",10533000.0,,,,2022-12-01,applied_digital,,,False,,,approved,,
07351c09ba8047d7,sec.applied_digital.cost_of_revenue.q,USD,2023-08-31,2024-10-09,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001144879-24-000253"", ""end"": ""2023-08-31"", ""filed"": ""2024-10-09"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2023Q3"", ""fy"": 2025, ""start"": ""2023-06-01"", ""val"": 25221000}}",25221000.0,,,,2023-06-01,applied_digital,,,False,,,approved,,
0d875ba8141303bf,sec.applied_digital.cost_of_revenue.q,USD,2023-11-30,2025-01-14,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001144879-25-000006"", ""end"": ""2023-11-30"", ""filed"": ""2025-01-14"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2023Q4"", ""fy"": 2025, ""start"": ""2023-09-01"", ""val"": 29769000}}",29769000.0,,,,2023-09-01,applied_digital,,,False,,,approved,,
bed656496be579f9,sec.applied_digital.cost_of_revenue.q,USD,2024-02-29,2025-04-14,2026-09-11T10:55:11.037499Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001144879.json,170fe59c796ceee84a4d864952e4f389521829d333882a8662f695edc963690e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001628280-25-017684"", ""end"": ""2024-02-29"", ""filed"": ""2025-04-14"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2024Q1"", ""fy"": 2025, ""start"": ""2023-12-01"", ""val"": 47061000}}",47061000.0,,,,2023-12-01,applied_digital,,,False,,,approved,,
