id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
9216fe6089b806a7,sec.astera_labs.cost_of_revenue.q,USD,2023-03-31,2024-05-08,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-24-000006"", ""end"": ""2023-03-31"", ""filed"": ""2024-05-08"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2023Q1"", ""fy"": 2024, ""start"": ""2023-01-01"", ""val"": 13406000}}",13406000.0,,,,2023-01-01,astera_labs,,,False,,,approved,,
65dea16158ad8751,sec.astera_labs.cost_of_revenue.q,USD,2023-06-30,2024-08-07,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-24-000018"", ""end"": ""2023-06-30"", ""filed"": ""2024-08-07"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2023Q2"", ""fy"": 2024, ""start"": ""2023-04-01"", ""val"": 2249000}}",2249000.0,,,,2023-04-01,astera_labs,,,False,,,approved,,
c5436b4d58ea1286,sec.astera_labs.cost_of_revenue.q,USD,2023-09-30,2024-11-05,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-24-000043"", ""end"": ""2023-09-30"", ""filed"": ""2024-11-05"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2023Q3"", ""fy"": 2024, ""start"": ""2023-07-01"", ""val"": 8823000}}",8823000.0,,,,2023-07-01,astera_labs,,,False,,,approved,,
0db1c30e7ccfba03,sec.astera_labs.cost_of_revenue.q,USD,2024-03-31,2025-05-07,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-25-000031"", ""end"": ""2024-03-31"", ""filed"": ""2025-05-07"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2024Q1"", ""fy"": 2025, ""start"": ""2024-01-01"", ""val"": 14738000}}",14738000.0,,,,2024-01-01,astera_labs,,,False,,,approved,,
ac3840bef041ade0,sec.astera_labs.cost_of_revenue.q,USD,2024-06-30,2025-08-06,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-25-000098"", ""end"": ""2024-06-30"", ""filed"": ""2025-08-06"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2024Q2"", ""fy"": 2025, ""start"": ""2024-04-01"", ""val"": 16996000}}",16996000.0,,,,2024-04-01,astera_labs,,,False,,,approved,,
76180a5d8413359b,sec.astera_labs.cost_of_revenue.q,USD,2024-09-30,2025-11-05,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-25-000147"", ""end"": ""2024-09-30"", ""filed"": ""2025-11-05"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2024Q3"", ""fy"": 2025, ""start"": ""2024-07-01"", ""val"": 25209000}}",25209000.0,,,,2024-07-01,astera_labs,,,False,,,approved,,
75b600cbaa71ac21,sec.astera_labs.cost_of_revenue.q,USD,2025-03-31,2026-05-06,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-26-000020"", ""end"": ""2025-03-31"", ""filed"": ""2026-05-06"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2025Q1"", ""fy"": 2026, ""start"": ""2025-01-01"", ""val"": 40031000}}",40031000.0,,,,2025-01-01,astera_labs,,,False,,,approved,,
01e6f865a6bdf8bb,sec.astera_labs.cost_of_revenue.q,USD,2025-06-30,2026-08-05,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-26-000035"", ""end"": ""2025-06-30"", ""filed"": ""2026-08-05"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2025Q2"", ""fy"": 2026, ""start"": ""2025-04-01"", ""val"": 46362000}}",46362000.0,,,,2025-04-01,astera_labs,,,False,,,approved,,
a62eb1dfb5f679e4,sec.astera_labs.cost_of_revenue.q,USD,2025-09-30,2025-11-05,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-25-000147"", ""end"": ""2025-09-30"", ""filed"": ""2025-11-05"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2025Q3"", ""fy"": 2025, ""start"": ""2025-07-01"", ""val"": 54763000}}",54763000.0,,,,2025-07-01,astera_labs,,,False,,,approved,,
24dc1305eb479319,sec.astera_labs.cost_of_revenue.q,USD,2026-03-31,2026-05-06,2026-09-25T11:58:19.797006Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001736297.json,2efb6a6e035970ca24ce4f04e2fcadd1f30fee9646b46e5d97c6ed652376663b,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfGoodsAndServicesSold"": {""accn"": ""0001736297-26-000020"", ""end"": ""2026-03-31"", ""filed"": ""2026-05-06"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2026Q1"", ""fy"": 2026, ""start"": ""2026-01-01"", ""val"": 73220000}}",73220000.0,,,,2026-01-01,astera_labs,,,False,,,approved,,
