id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
a97b0c397f6817b9,sec.googl.revenue.q,USD,2014-09-30,2015-10-29,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-15-000005"", ""end"": ""2014-09-30"", ""filed"": ""2015-10-29"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2014Q3"", ""fy"": 2015, ""start"": ""2014-07-01"", ""val"": 16523000000}}",16523000000.0,,,,2014-07-01,googl,,,False,,,approved,,
74bd9b1507315704,sec.googl.revenue.q,USD,2015-03-31,2016-05-03,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-16-000021"", ""end"": ""2015-03-31"", ""filed"": ""2016-05-03"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2015Q1"", ""fy"": 2016, ""start"": ""2015-01-01"", ""val"": 17258000000}}",17258000000.0,,,,2015-01-01,googl,,,False,,,approved,,
ecef3d69cd74b57d,sec.googl.revenue.q,USD,2015-06-30,2016-08-04,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-16-000032"", ""end"": ""2015-06-30"", ""filed"": ""2016-08-04"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2015Q2"", ""fy"": 2016, ""start"": ""2015-04-01"", ""val"": 17727000000}}",17727000000.0,,,,2015-04-01,googl,,,False,,,approved,,
4c7fdb05942a7307,sec.googl.revenue.q,USD,2015-09-30,2016-11-03,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-16-000038"", ""end"": ""2015-09-30"", ""filed"": ""2016-11-03"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2015Q3"", ""fy"": 2016, ""start"": ""2015-07-01"", ""val"": 18675000000}}",18675000000.0,,,,2015-07-01,googl,,,False,,,approved,,
179e7f51853492a0,sec.googl.revenue.q,USD,2016-03-31,2017-05-02,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-17-000014"", ""end"": ""2016-03-31"", ""filed"": ""2017-05-02"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2016Q1"", ""fy"": 2017, ""start"": ""2016-01-01"", ""val"": 20257000000}}",20257000000.0,,,,2016-01-01,googl,,,False,,,approved,,
2fb88a19931f47a3,sec.googl.revenue.q,USD,2016-06-30,2017-07-25,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-17-000026"", ""end"": ""2016-06-30"", ""filed"": ""2017-07-25"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2016Q2"", ""fy"": 2017, ""start"": ""2016-04-01"", ""val"": 21500000000}}",21500000000.0,,,,2016-04-01,googl,,,False,,,approved,,
c6548fbff7293325,sec.googl.revenue.q,USD,2016-09-30,2017-10-27,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-17-000042"", ""end"": ""2016-09-30"", ""filed"": ""2017-10-27"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2016Q3"", ""fy"": 2017, ""start"": ""2016-07-01"", ""val"": 22451000000}}",22451000000.0,,,,2016-07-01,googl,,,False,,,approved,,
7409dcbc0cc22b21,sec.googl.revenue.q,USD,2017-03-31,2018-04-24,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-18-000016"", ""end"": ""2017-03-31"", ""filed"": ""2018-04-24"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2017Q1"", ""fy"": 2018, ""start"": ""2017-01-01"", ""val"": 24750000000}}",24750000000.0,,,,2017-01-01,googl,,,False,,,approved,,
2b0bab2c7c56cac4,sec.googl.revenue.q,USD,2017-06-30,2018-07-24,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-18-000027"", ""end"": ""2017-06-30"", ""filed"": ""2018-07-24"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2017Q2"", ""fy"": 2018, ""start"": ""2017-04-01"", ""val"": 26010000000}}",26010000000.0,,,,2017-04-01,googl,,,False,,,approved,,
ae838afadd316d31,sec.googl.revenue.q,USD,2017-09-30,2018-10-26,2026-09-10T01:20:41.837287Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001652044.json,a017f26ee88cb4a639d1c1ddb06d53b4afe22f0ac89cabec7cd67c88919fe1c5,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""Revenues"": {""accn"": ""0001652044-18-000035"", ""end"": ""2017-09-30"", ""filed"": ""2018-10-26"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2017Q3"", ""fy"": 2018, ""start"": ""2017-07-01"", ""val"": 27772000000}}",27772000000.0,,,,2017-07-01,googl,,,False,,,approved,,
