id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
5978300b7c378ca4,sec.meta.cost_of_revenue.q,USD,2011-06-30,2012-07-31,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001193125-12-325997"", ""end"": ""2011-06-30"", ""filed"": ""2012-07-31"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2011Q2"", ""fy"": 2012, ""start"": ""2011-04-01"", ""val"": 210000000}}",210000000.0,,,,2011-04-01,meta,,,False,,,approved,,
610ae555f57acadd,sec.meta.cost_of_revenue.q,USD,2011-09-30,2012-10-24,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-12-000006"", ""end"": ""2011-09-30"", ""filed"": ""2012-10-24"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2011Q3"", ""fy"": 2012, ""start"": ""2011-07-01"", ""val"": 236000000}}",236000000.0,,,,2011-07-01,meta,,,False,,,approved,,
08b334789d224afb,sec.meta.cost_of_revenue.q,USD,2012-03-31,2013-05-02,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-13-000011"", ""end"": ""2012-03-31"", ""filed"": ""2013-05-02"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2012Q1"", ""fy"": 2013, ""start"": ""2012-01-01"", ""val"": 277000000}}",277000000.0,,,,2012-01-01,meta,,,False,,,approved,,
237edcb053a97218,sec.meta.cost_of_revenue.q,USD,2012-06-30,2013-07-25,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-13-000019"", ""end"": ""2012-06-30"", ""filed"": ""2013-07-25"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2012Q2"", ""fy"": 2013, ""start"": ""2012-04-01"", ""val"": 367000000}}",367000000.0,,,,2012-04-01,meta,,,False,,,approved,,
4206c607ae6fbf13,sec.meta.cost_of_revenue.q,USD,2012-09-30,2013-11-01,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-13-000031"", ""end"": ""2012-09-30"", ""filed"": ""2013-11-01"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2012Q3"", ""fy"": 2013, ""start"": ""2012-07-01"", ""val"": 322000000}}",322000000.0,,,,2012-07-01,meta,,,False,,,approved,,
7444fce76e1f94e9,sec.meta.cost_of_revenue.q,USD,2013-03-31,2014-04-25,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-14-000023"", ""end"": ""2013-03-31"", ""filed"": ""2014-04-25"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2013Q1"", ""fy"": 2014, ""start"": ""2013-01-01"", ""val"": 413000000}}",413000000.0,,,,2013-01-01,meta,,,False,,,approved,,
21401fd2cc202906,sec.meta.cost_of_revenue.q,USD,2013-06-30,2014-07-24,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-14-000032"", ""end"": ""2013-06-30"", ""filed"": ""2014-07-24"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2013Q2"", ""fy"": 2014, ""start"": ""2013-04-01"", ""val"": 465000000}}",465000000.0,,,,2013-04-01,meta,,,False,,,approved,,
4a0269c51020e16c,sec.meta.cost_of_revenue.q,USD,2013-09-30,2014-10-30,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-14-000068"", ""end"": ""2013-09-30"", ""filed"": ""2014-10-30"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2013Q3"", ""fy"": 2014, ""start"": ""2013-07-01"", ""val"": 507000000}}",507000000.0,,,,2013-07-01,meta,,,False,,,approved,,
9198c7ea94f6d5b8,sec.meta.cost_of_revenue.q,USD,2014-03-31,2015-04-23,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-15-000015"", ""end"": ""2014-03-31"", ""filed"": ""2015-04-23"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2014Q1"", ""fy"": 2015, ""start"": ""2014-01-01"", ""val"": 462000000}}",462000000.0,,,,2014-01-01,meta,,,False,,,approved,,
8a3e921c53e57d39,sec.meta.cost_of_revenue.q,USD,2014-06-30,2015-07-31,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-15-000028"", ""end"": ""2014-06-30"", ""filed"": ""2015-07-31"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""frame"": ""CY2014Q2"", ""fy"": 2015, ""start"": ""2014-04-01"", ""val"": 473000000}}",473000000.0,,,,2014-04-01,meta,,,False,,,approved,,
e9d64b4dcdcc27b1,sec.meta.cost_of_revenue.q,USD,2014-09-30,2015-11-05,2026-09-10T01:20:42.201095Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001326801.json,7518e76d6dac2d016e1a3d1dec1cc55ff9ea3bdd58a151b16fcaa067a6c9d94e,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""CostOfRevenue"": {""accn"": ""0001326801-15-000032"", ""end"": ""2014-09-30"", ""filed"": ""2015-11-05"", ""form"": ""10-Q"", ""fp"": ""Q3"", ""frame"": ""CY2014Q3"", ""fy"": 2015, ""start"": ""2014-07-01"", ""val"": 565000000}}",565000000.0,,,,2014-07-01,meta,,,False,,,approved,,
