id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
328c088f99849a49,sec.micron.capex.h1,USD,2010-03-04,2011-04-12,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-11-000085"", ""end"": ""2010-03-04"", ""filed"": ""2011-04-12"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2011, ""start"": ""2009-09-04"", ""val"": 155000000}}",155000000.0,,,,2009-09-04,micron,,,False,,,approved,,
851e2163abd1b0c1,sec.micron.capex.h1,USD,2011-03-03,2012-04-09,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-12-000057"", ""end"": ""2011-03-03"", ""filed"": ""2012-04-09"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2012, ""start"": ""2010-09-03"", ""val"": 1189000000}}",1189000000.0,,,,2010-09-03,micron,,,False,,,approved,,
8b71d07258375f9f,sec.micron.capex.h1,USD,2012-03-01,2013-04-08,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-13-000042"", ""end"": ""2012-03-01"", ""filed"": ""2013-04-08"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2013, ""start"": ""2011-09-02"", ""val"": 1089000000}}",1089000000.0,,,,2011-09-02,micron,,,False,,,approved,,
451ad9eb0956e0cb,sec.micron.capex.h1,USD,2013-02-28,2014-04-07,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-14-000068"", ""end"": ""2013-02-28"", ""filed"": ""2014-04-07"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2014, ""start"": ""2012-08-31"", ""val"": 761000000}}",761000000.0,,,,2012-08-31,micron,,,False,,,approved,,
f9726e3da1faff39,sec.micron.capex.h1,USD,2014-02-27,2015-04-10,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-15-000039"", ""end"": ""2014-02-27"", ""filed"": ""2015-04-10"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2015, ""start"": ""2013-08-30"", ""val"": 1234000000}}",1234000000.0,,,,2013-08-30,micron,,,False,,,approved,,
487c6ca2a363c8f5,sec.micron.capex.h1,USD,2015-03-05,2016-04-08,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-16-000176"", ""end"": ""2015-03-05"", ""filed"": ""2016-04-08"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2016, ""start"": ""2014-08-29"", ""val"": 1522000000}}",1522000000.0,,,,2014-08-29,micron,,,False,,,approved,,
8b8a3ae391140313,sec.micron.capex.h1,USD,2016-03-03,2017-03-28,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-17-000037"", ""end"": ""2016-03-03"", ""filed"": ""2017-03-28"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2017, ""start"": ""2015-09-04"", ""val"": 2209000000}}",2209000000.0,,,,2015-09-04,micron,,,False,,,approved,,
0cb75990f54767fa,sec.micron.capex.h1,USD,2017-03-02,2018-03-23,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-18-000036"", ""end"": ""2017-03-02"", ""filed"": ""2018-03-23"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2018, ""start"": ""2016-09-02"", ""val"": 2428000000}}",2428000000.0,,,,2016-09-02,micron,,,False,,,approved,,
804ec433f39969a0,sec.micron.capex.h1,USD,2018-03-01,2019-03-21,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-19-000014"", ""end"": ""2018-03-01"", ""filed"": ""2019-03-21"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2019, ""start"": ""2017-09-01"", ""val"": 4217000000}}",4217000000.0,,,,2017-09-01,micron,,,False,,,approved,,
0a5a96fb0b871ce0,sec.micron.capex.h1,USD,2019-02-28,2020-03-26,2026-09-14T02:39:45.271196Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0000723125.json,a8b088c2111daef36536e53c81fef4c0f01220c64933e126a665b00a9257f882,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0000723125-20-000034"", ""end"": ""2019-02-28"", ""filed"": ""2020-03-26"", ""form"": ""10-Q"", ""fp"": ""Q2"", ""fy"": 2020, ""start"": ""2018-08-31"", ""val"": 5349000000}}",5349000000.0,,,,2018-08-31,micron,,,False,,,approved,,
