id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,review_status,reviewer_id,supersedes_id
e8d71856562fca8d,sec.nvda.capex.q,USD,2011-05-01,2012-05-23,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-12-000027"", ""end"": ""2011-05-01"", ""filed"": ""2012-05-23"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2011Q1"", ""fy"": 2012, ""start"": ""2011-01-31"", ""val"": 31195000}}",31195000.0,,,,2011-01-31,nvda,,,False,,approved,,
986fa4ac747efcc0,sec.nvda.capex.q,USD,2012-04-29,2013-05-22,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-13-000054"", ""end"": ""2012-04-29"", ""filed"": ""2013-05-22"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2012Q1"", ""fy"": 2013, ""start"": ""2012-01-30"", ""val"": 28923000}}",28923000.0,,,,2012-01-30,nvda,,,False,,approved,,
065a13be5256b6f6,sec.nvda.capex.q,USD,2013-04-28,2014-05-21,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-14-000085"", ""end"": ""2013-04-28"", ""filed"": ""2014-05-21"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2013Q1"", ""fy"": 2014, ""start"": ""2013-01-28"", ""val"": 65667000}}",65667000.0,,,,2013-01-28,nvda,,,False,,approved,,
38ad40ce56798bc2,sec.nvda.capex.q,USD,2014-04-27,2015-05-20,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-15-000097"", ""end"": ""2014-04-27"", ""filed"": ""2015-05-20"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2014Q1"", ""fy"": 2016, ""start"": ""2014-01-27"", ""val"": 29000000}}",29000000.0,,,,2014-01-27,nvda,,,False,,approved,,
14e9c1520a411925,sec.nvda.capex.q,USD,2015-04-26,2016-05-25,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-16-000275"", ""end"": ""2015-04-26"", ""filed"": ""2016-05-25"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2015Q1"", ""fy"": 2017, ""start"": ""2015-01-26"", ""val"": 30000000}}",30000000.0,,,,2015-01-26,nvda,,,False,,approved,,
c46c860f39519fc1,sec.nvda.capex.q,USD,2016-05-01,2017-05-23,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-17-000075"", ""end"": ""2016-05-01"", ""filed"": ""2017-05-23"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2016Q1"", ""fy"": 2018, ""start"": ""2016-02-01"", ""val"": 55000000}}",55000000.0,,,,2016-02-01,nvda,,,False,,approved,,
5ce89716a12e86c5,sec.nvda.capex.q,USD,2017-04-30,2018-05-22,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-18-000080"", ""end"": ""2017-04-30"", ""filed"": ""2018-05-22"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2017Q1"", ""fy"": 2019, ""start"": ""2017-01-30"", ""val"": 54000000}}",54000000.0,,,,2017-01-30,nvda,,,False,,approved,,
e57c3f68e2d60317,sec.nvda.capex.q,USD,2018-04-29,2019-05-16,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-19-000079"", ""end"": ""2018-04-29"", ""filed"": ""2019-05-16"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2018Q1"", ""fy"": 2020, ""start"": ""2018-01-29"", ""val"": 118000000}}",118000000.0,,,,2018-01-29,nvda,,,False,,approved,,
96de411034dedb99,sec.nvda.capex.q,USD,2019-04-28,2020-05-21,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-20-000065"", ""end"": ""2019-04-28"", ""filed"": ""2020-05-21"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2019Q1"", ""fy"": 2020, ""start"": ""2019-01-28"", ""val"": 128000000}}",128000000.0,,,,2019-01-28,nvda,,,False,,approved,,
d22fb7947b55257c,sec.nvda.capex.q,USD,2020-04-26,2020-05-21,2026-09-10T01:20:41.231872Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json,19ef503a5770f5660964b3c3aea6937579d9b359da344afe6a9adf59c63d26ff,200,sec_xbrl,4,company_stated,xbrl,sec_xbrl-1,"{""PaymentsToAcquirePropertyPlantAndEquipment"": {""accn"": ""0001045810-20-000065"", ""end"": ""2020-04-26"", ""filed"": ""2020-05-21"", ""form"": ""10-Q"", ""fp"": ""Q1"", ""frame"": ""CY2020Q1"", ""fy"": 2020, ""start"": ""2020-01-27"", ""val"": 155000000}}",155000000.0,,,,2020-01-27,nvda,,,False,,approved,,
