id,series_key,unit,as_of_date,published_date,retrieved_at,url,content_hash,http_status,source_id,tier,audited_vs_reported,extraction_method,extractor_version,raw_snippet,value_numeric,value_text,value_low,value_high,period_start,entity_id,run_rate_vs_booked,gross_vs_net,disputed,dispute_text,note,review_status,reviewer_id,supersedes_id
da5340e6d23a1b4f,sec.terawulf.gross_profit.fy,USD,2010-12-31,2012-03-06,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001193125-12-099084"", ""end"": ""2010-12-31"", ""filed"": ""2012-03-06"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2010"", ""fy"": 2011, ""start"": ""2010-01-01"", ""val"": 6804284}}",6804284.0,,,,2010-01-01,terawulf,,,False,,,approved,,
12207e0142fd2bc6,sec.terawulf.gross_profit.fy,USD,2011-12-31,2013-03-05,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001104659-13-017522"", ""end"": ""2011-12-31"", ""filed"": ""2013-03-05"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2011"", ""fy"": 2012, ""start"": ""2011-01-01"", ""val"": 6709410}}",6709410.0,,,,2011-01-01,terawulf,,,False,,,approved,,
bf60c87b2a0c027c,sec.terawulf.gross_profit.fy,USD,2012-12-31,2014-03-05,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001104659-14-016261"", ""end"": ""2012-12-31"", ""filed"": ""2014-03-05"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2012"", ""fy"": 2013, ""start"": ""2012-01-01"", ""val"": 6944844}}",6944844.0,,,,2012-01-01,terawulf,,,False,,,approved,,
77be1e68d2dd4ee2,sec.terawulf.gross_profit.fy,USD,2013-12-31,2015-03-05,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001104659-15-016854"", ""end"": ""2013-12-31"", ""filed"": ""2015-03-05"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2013"", ""fy"": 2014, ""start"": ""2013-01-01"", ""val"": 6937855}}",6937855.0,,,,2013-01-01,terawulf,,,False,,,approved,,
2af3641aaaf36405,sec.terawulf.gross_profit.fy,USD,2014-12-31,2016-03-02,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001558370-16-003779"", ""end"": ""2014-12-31"", ""filed"": ""2016-03-02"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2014"", ""fy"": 2015, ""start"": ""2014-01-01"", ""val"": 6703229}}",6703229.0,,,,2014-01-01,terawulf,,,False,,,approved,,
dd791403f6f92350,sec.terawulf.gross_profit.fy,USD,2015-12-31,2017-03-03,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001558370-17-001325"", ""end"": ""2015-12-31"", ""filed"": ""2017-03-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2015"", ""fy"": 2016, ""start"": ""2015-01-01"", ""val"": 6144592}}",6144592.0,,,,2015-01-01,terawulf,,,False,,,approved,,
dd630a6f60e798ba,sec.terawulf.gross_profit.fy,USD,2016-12-31,2018-03-02,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001558370-18-001442"", ""end"": ""2016-12-31"", ""filed"": ""2018-03-02"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2016"", ""fy"": 2017, ""start"": ""2016-01-01"", ""val"": 6236910}}",6236910.0,,,,2016-01-01,terawulf,,,False,,,approved,,
a0b011dfc0acb945,sec.terawulf.gross_profit.fy,USD,2017-12-31,2019-03-01,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001437749-19-003743"", ""end"": ""2017-12-31"", ""filed"": ""2019-03-01"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2017"", ""fy"": 2018, ""start"": ""2017-01-01"", ""val"": 5730545}}",5730545.0,,,,2017-01-01,terawulf,,,False,,,approved,,
12843409532967f9,sec.terawulf.gross_profit.fy,USD,2018-12-31,2020-03-03,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001437749-20-004241"", ""end"": ""2018-12-31"", ""filed"": ""2020-03-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2018"", ""fy"": 2019, ""start"": ""2018-01-01"", ""val"": 6254027}}",6254027.0,,,,2018-01-01,terawulf,,,False,,,approved,,
4ddd191f0bb2fc41,sec.terawulf.gross_profit.fy,USD,2019-12-31,2021-03-03,2026-09-11T10:55:11.413902Z,https://data.sec.gov/api/xbrl/companyfacts/CIK0001083301.json,e4c33383250ec8eb24ce40dfd103edd8d57afa0ee40b7f0b5155ab9db90bcbc9,200,sec_xbrl,4,audited,xbrl,sec_xbrl-1,"{""GrossProfit"": {""accn"": ""0001437749-21-004835"", ""end"": ""2019-12-31"", ""filed"": ""2021-03-03"", ""form"": ""10-K"", ""fp"": ""FY"", ""frame"": ""CY2019"", ""fy"": 2020, ""start"": ""2019-01-01"", ""val"": 5397189}}",5397189.0,,,,2019-01-01,terawulf,,,False,,,approved,,
